Title	URL	Abstract views	PDF views	Original submission	Current submission
Estimating sampling completeness of interactions in quantitative bipartite ecological networks: incorporating variation in species specialisation	http://biorxiv.org/content/early/2017/09/29/195917	NA	NA	2017_09_29	2017_09_29
How stimulation frequency and intensity impact on the long-lasting effects of coordinated reset stimulation	http://biorxiv.org/content/early/2017/09/29/196188	NA	NA	2017_09_29	2017_09_29
Fast and Accurate Genomic Analyses using Genome Graphs	http://biorxiv.org/content/early/2017/09/29/194530	NA	NA	2017_09_27	2017_09_29
Transplanted Adult Neural Stem Cells Express Sonic Hedgehog In Vivo and Suppress White Matter Neuroinflammation After Experimental Traumatic Brain Injury	http://biorxiv.org/content/early/2017/09/29/196170	NA	NA	2017_09_29	2017_09_29
Genetic pleiotropy between mood disorders, metabolic, and endocrine traits in a multigenerational pedigree	http://biorxiv.org/content/early/2017/09/29/196055	NA	NA	2017_09_29	2017_09_29
Employing single-stranded DNA donors for the high-throughput production of conditional knockout alleles in mice	http://biorxiv.org/content/early/2017/09/29/195651	NA	NA	2017_09_29	2017_09_29
Spatial RNA proximities reveal a bipartite nuclear transcriptome and territories of differential density and transcription elongation rates	http://biorxiv.org/content/early/2017/09/29/196147	NA	NA	2017_09_29	2017_09_29
Cognitive deficits and increases in creatine precursors in a brain-specific knockout of the creatine transporter gene Slc6a8	http://biorxiv.org/content/early/2017/09/29/196063	NA	NA	2017_09_29	2017_09_29
indCAPS: A tool for designing screening primers for CRISPR/Cas9 mutagenesis events	http://biorxiv.org/content/early/2017/09/29/196121	NA	NA	2017_09_29	2017_09_29
Mapping nonapoptotic caspase activity with a transgenic reporter in mice	http://biorxiv.org/content/early/2017/09/29/196105	NA	NA	2017_09_29	2017_09_29
Understanding Functional Roles of Native Pentose-Specific Transporters for Activating Dormant Pentose Metabolism in Yarrowia lipolytica	http://biorxiv.org/content/early/2017/09/29/195834	NA	NA	2017_09_29	2017_09_29
Induction and Relief of Curiosity Elicit Parietal and Frontal Activity	http://biorxiv.org/content/early/2017/09/29/195461	NA	NA	2017_09_29	2017_09_29
Music training improves the ability to understand speech-in-noise in older adults	http://biorxiv.org/content/early/2017/09/29/196030	NA	NA	2017_09_29	2017_09_29
Experimental warming reduces the diversity and functional potential of the Sphagnum microbiome	http://biorxiv.org/content/early/2017/09/29/194761	NA	NA	2017_09_29	2017_09_29
OxLDL Inhibits Brain Angiogenesis in Dose Dependent Manner via Reducing Level of Vascular Endothelial Growth Factor and Angiopoietin-2	http://biorxiv.org/content/early/2017/09/29/187708	NA	NA	2017_09_13	2017_09_29
